 ,Area,Mean,Min,Max
1,0.129,255,255,255
2,0.024,255,255,255
3,0.100,255,255,255
4,0.094,255,255,255
5,0.015,255,255,255
6,0.144,255,255,255
7,0.039,255,255,255
8,0.168,255,255,255
9,0.232,255,255,255
10,0.030,255,255,255
11,0.124,255,255,255
12,0.211,255,255,255
13,0.082,255,255,255
14,0.093,255,255,255
15,0.178,255,255,255
16,0.178,255,255,255
17,0.166,255,255,255
18,0.163,255,255,255
19,0.159,255,255,255
20,0.179,255,255,255
21,0.147,255,255,255
22,0.184,255,255,255
23,0.167,255,255,255
24,0.193,255,255,255
25,0.164,255,255,255
26,0.403,255,255,255
27,0.143,255,255,255
28,0.146,255,255,255
29,0.171,255,255,255
30,0.161,255,255,255
31,0.163,255,255,255
32,0.148,255,255,255
33,0.188,255,255,255
34,0.142,255,255,255
35,0.183,255,255,255
36,0.186,255,255,255
37,0.318,255,255,255
38,0.185,255,255,255
39,0.132,255,255,255
40,0.273,255,255,255
41,0.301,255,255,255
42,0.329,255,255,255
43,0.172,255,255,255
44,0.375,255,255,255
45,0.127,255,255,255
46,0.145,255,255,255
47,0.188,255,255,255
48,0.139,255,255,255
49,0.181,255,255,255
50,0.179,255,255,255
51,0.028,255,255,255
52,0.148,255,255,255
53,0.189,255,255,255
54,0.174,255,255,255
55,0.159,255,255,255
56,0.120,255,255,255
57,0.178,255,255,255
58,0.190,255,255,255
59,0.174,255,255,255
60,0.168,255,255,255
61,0.118,255,255,255
62,0.182,255,255,255
63,0.189,255,255,255
64,0.206,255,255,255
65,0.164,255,255,255
66,0.171,255,255,255
67,0.163,255,255,255
68,0.153,255,255,255
69,0.134,255,255,255
70,0.148,255,255,255
71,0.215,255,255,255
72,0.180,255,255,255
73,0.174,255,255,255
74,0.137,255,255,255
75,0.160,255,255,255
76,0.177,255,255,255
77,0.166,255,255,255
78,0.138,255,255,255
79,0.183,255,255,255
80,0.181,255,255,255
81,0.204,255,255,255
82,0.130,255,255,255
83,0.215,255,255,255
84,0.109,255,255,255
85,0.159,255,255,255
86,0.179,255,255,255
87,0.232,255,255,255
88,0.420,255,255,255
89,0.184,255,255,255
90,0.190,255,255,255
91,0.207,255,255,255
92,0.160,255,255,255
93,0.211,255,255,255
94,0.230,255,255,255
95,0.149,255,255,255
96,0.140,255,255,255
97,0.185,255,255,255
98,0.232,255,255,255
99,0.211,255,255,255
100,0.218,255,255,255
101,0.155,255,255,255
102,0.139,255,255,255
103,0.180,255,255,255
104,0.181,255,255,255
105,0.164,255,255,255
106,0.151,255,255,255
107,0.194,255,255,255
108,0.169,255,255,255
109,0.493,255,255,255
110,0.188,255,255,255
111,0.153,255,255,255
112,0.146,255,255,255
113,0.171,255,255,255
114,0.141,255,255,255
115,0.167,255,255,255
116,0.017,255,255,255
117,0.142,255,255,255
118,0.207,255,255,255
119,0.126,255,255,255
120,0.169,255,255,255
121,0.167,255,255,255
122,0.175,255,255,255
123,0.183,255,255,255
124,0.154,255,255,255
125,0.172,255,255,255
126,0.096,255,255,255
127,0.200,255,255,255
128,0.164,255,255,255
129,0.232,255,255,255
130,0.171,255,255,255
131,0.207,255,255,255
132,0.195,255,255,255
133,0.298,255,255,255
134,0.195,255,255,255
135,0.161,255,255,255
136,0.190,255,255,255
137,0.175,255,255,255
138,0.202,255,255,255
139,0.170,255,255,255
140,0.151,255,255,255
141,0.199,255,255,255
142,0.196,255,255,255
143,0.167,255,255,255
144,0.172,255,255,255
145,0.146,255,255,255
146,0.201,255,255,255
147,0.160,255,255,255
148,0.140,255,255,255
149,0.148,255,255,255
150,0.163,255,255,255
151,0.235,255,255,255
152,0.179,255,255,255
153,0.122,255,255,255
154,0.182,255,255,255
155,0.160,255,255,255
156,0.195,255,255,255
157,0.179,255,255,255
158,0.204,255,255,255
159,0.225,255,255,255
160,0.189,255,255,255
161,0.133,255,255,255
162,0.155,255,255,255
163,0.075,255,255,255
164,0.196,255,255,255
165,0.182,255,255,255
166,0.218,255,255,255
167,0.193,255,255,255
168,0.139,255,255,255
169,0.216,255,255,255
170,0.164,255,255,255
171,0.165,255,255,255
172,0.135,255,255,255
173,0.172,255,255,255
174,0.166,255,255,255
175,0.239,255,255,255
176,0.339,255,255,255
177,0.158,255,255,255
178,0.183,255,255,255
179,0.302,255,255,255
180,0.166,255,255,255
181,0.172,255,255,255
182,0.214,255,255,255
183,0.176,255,255,255
184,0.140,255,255,255
185,0.215,255,255,255
186,0.158,255,255,255
187,0.203,255,255,255
188,0.183,255,255,255
189,0.229,255,255,255
190,0.233,255,255,255
191,0.066,255,255,255
192,0.237,255,255,255
193,0.379,255,255,255
194,0.118,255,255,255
195,0.170,255,255,255
196,0.148,255,255,255
197,0.104,255,255,255
198,0.131,255,255,255
199,0.063,255,255,255
200,0.183,255,255,255
201,0.239,255,255,255
202,0.034,255,255,255
203,0.099,255,255,255
204,0.095,255,255,255
205,0.101,255,255,255
206,0.115,255,255,255
207,0.131,255,255,255
208,0.104,255,255,255
209,0.061,255,255,255
210,0.065,255,255,255
211,0.054,255,255,255
212,0.038,255,255,255
