 ,Area,Mean,Min,Max
1,0.055,255,255,255
2,0.150,255,255,255
3,0.139,255,255,255
4,0.150,255,255,255
5,0.147,255,255,255
6,0.123,255,255,255
7,0.206,255,255,255
8,0.099,255,255,255
9,0.174,255,255,255
10,0.150,255,255,255
11,0.233,255,255,255
12,0.095,255,255,255
13,0.305,255,255,255
14,0.123,255,255,255
15,0.144,255,255,255
16,0.146,255,255,255
17,0.254,255,255,255
18,0.013,255,255,255
19,0.175,255,255,255
20,0.166,255,255,255
21,0.225,255,255,255
22,0.181,255,255,255
23,0.062,255,255,255
24,0.084,255,255,255
25,0.127,255,255,255
26,0.132,255,255,255
27,0.142,255,255,255
28,0.222,255,255,255
29,0.102,255,255,255
30,0.177,255,255,255
31,0.098,255,255,255
32,0.215,255,255,255
33,0.071,255,255,255
34,0.112,255,255,255
35,0.161,255,255,255
36,0.105,255,255,255
37,0.180,255,255,255
38,0.157,255,255,255
39,0.107,255,255,255
40,0.359,255,255,255
41,0.172,255,255,255
42,0.243,255,255,255
43,0.182,255,255,255
44,0.139,255,255,255
45,0.178,255,255,255
46,0.202,255,255,255
47,0.155,255,255,255
48,0.162,255,255,255
49,0.177,255,255,255
50,0.216,255,255,255
51,0.150,255,255,255
52,0.117,255,255,255
53,0.187,255,255,255
54,0.234,255,255,255
55,0.218,255,255,255
56,0.269,255,255,255
57,0.165,255,255,255
58,0.218,255,255,255
59,0.040,255,255,255
60,0.146,255,255,255
61,0.106,255,255,255
62,0.193,255,255,255
63,0.188,255,255,255
64,0.177,255,255,255
65,0.127,255,255,255
66,0.160,255,255,255
67,0.160,255,255,255
68,0.191,255,255,255
69,0.177,255,255,255
70,0.147,255,255,255
71,0.090,255,255,255
72,0.163,255,255,255
73,0.083,255,255,255
74,0.130,255,255,255
75,0.150,255,255,255
76,0.133,255,255,255
77,0.201,255,255,255
78,0.155,255,255,255
79,0.071,255,255,255
80,0.199,255,255,255
81,0.099,255,255,255
82,0.151,255,255,255
83,0.210,255,255,255
84,0.187,255,255,255
85,0.191,255,255,255
86,0.193,255,255,255
87,0.186,255,255,255
88,0.184,255,255,255
89,0.128,255,255,255
90,0.173,255,255,255
91,0.151,255,255,255
92,0.158,255,255,255
93,0.165,255,255,255
94,0.168,255,255,255
95,0.211,255,255,255
96,0.114,255,255,255
97,0.164,255,255,255
98,0.335,255,255,255
99,0.133,255,255,255
100,0.173,255,255,255
101,0.174,255,255,255
102,0.172,255,255,255
103,0.179,255,255,255
104,0.171,255,255,255
105,0.139,255,255,255
106,0.182,255,255,255
107,0.190,255,255,255
108,0.186,255,255,255
109,0.168,255,255,255
110,0.143,255,255,255
111,0.186,255,255,255
112,0.056,255,255,255
113,0.143,255,255,255
114,0.218,255,255,255
115,0.196,255,255,255
116,0.204,255,255,255
117,0.185,255,255,255
118,0.168,255,255,255
119,0.211,255,255,255
120,0.158,255,255,255
121,0.160,255,255,255
122,0.187,255,255,255
123,0.116,255,255,255
124,0.160,255,255,255
125,0.166,255,255,255
126,0.241,255,255,255
127,0.179,255,255,255
128,0.188,255,255,255
129,0.159,255,255,255
130,0.144,255,255,255
131,0.218,255,255,255
132,0.205,255,255,255
133,0.153,255,255,255
134,0.222,255,255,255
135,0.150,255,255,255
136,0.154,255,255,255
137,0.180,255,255,255
138,0.204,255,255,255
139,0.195,255,255,255
140,0.211,255,255,255
141,0.196,255,255,255
142,0.169,255,255,255
143,0.166,255,255,255
144,0.103,255,255,255
145,0.185,255,255,255
146,0.148,255,255,255
147,0.275,255,255,255
148,0.129,255,255,255
149,0.234,255,255,255
150,0.108,255,255,255
151,0.097,255,255,255
152,0.155,255,255,255
153,0.094,255,255,255
154,0.137,255,255,255
155,0.177,255,255,255
156,0.148,255,255,255
157,0.154,255,255,255
158,0.135,255,255,255
159,0.154,255,255,255
160,0.224,255,255,255
161,0.177,255,255,255
162,0.231,255,255,255
163,0.180,255,255,255
164,0.220,255,255,255
165,0.195,255,255,255
166,0.187,255,255,255
167,0.141,255,255,255
168,0.166,255,255,255
169,0.184,255,255,255
170,0.131,255,255,255
171,0.091,255,255,255
172,0.083,255,255,255
173,0.089,255,255,255
174,0.140,255,255,255
175,0.176,255,255,255
176,0.110,255,255,255
177,0.181,255,255,255
178,0.137,255,255,255
179,0.184,255,255,255
180,0.176,255,255,255
181,0.181,255,255,255
182,0.158,255,255,255
183,0.236,255,255,255
184,0.182,255,255,255
185,0.276,255,255,255
186,0.123,255,255,255
187,0.219,255,255,255
188,0.153,255,255,255
189,0.119,255,255,255
190,0.144,255,255,255
191,0.192,255,255,255
192,0.265,255,255,255
193,0.197,255,255,255
194,0.128,255,255,255
195,0.179,255,255,255
196,0.152,255,255,255
197,0.133,255,255,255
198,0.167,255,255,255
199,0.136,255,255,255
200,0.178,255,255,255
201,0.199,255,255,255
202,0.152,255,255,255
203,0.206,255,255,255
204,0.126,255,255,255
205,0.236,255,255,255
206,0.244,255,255,255
207,0.126,255,255,255
208,0.158,255,255,255
209,0.177,255,255,255
210,0.152,255,255,255
211,0.210,255,255,255
212,0.191,255,255,255
213,0.135,255,255,255
214,0.198,255,255,255
215,0.196,255,255,255
216,0.209,255,255,255
217,0.203,255,255,255
218,0.157,255,255,255
219,0.167,255,255,255
220,0.128,255,255,255
221,0.154,255,255,255
222,0.183,255,255,255
223,0.117,255,255,255
224,0.133,255,255,255
225,0.157,255,255,255
226,0.159,255,255,255
227,0.149,255,255,255
228,0.120,255,255,255
229,0.178,255,255,255
230,0.122,255,255,255
231,0.144,255,255,255
232,0.092,255,255,255
233,0.098,255,255,255
234,0.023,255,255,255
