 ,Area,Mean,Min,Max
141,0.141,255,255,255
142,0.044,255,255,255
143,0.120,255,255,255
144,0.129,255,255,255
145,0.172,255,255,255
146,0.138,255,255,255
147,0.189,255,255,255
148,0.033,255,255,255
149,0.159,255,255,255
150,0.032,255,255,255
151,0.133,255,255,255
152,0.064,255,255,255
153,0.185,255,255,255
154,0.011,255,255,255
155,0.042,255,255,255
156,0.132,255,255,255
157,0.118,255,255,255
158,0.141,255,255,255
159,0.049,255,255,255
160,0.079,255,255,255
161,0.142,255,255,255
162,0.080,255,255,255
163,0.084,255,255,255
164,0.211,255,255,255
165,0.141,255,255,255
166,0.135,255,255,255
167,0.226,255,255,255
168,0.140,255,255,255
169,0.157,255,255,255
170,0.149,255,255,255
171,0.172,255,255,255
172,0.169,255,255,255
173,0.192,255,255,255
174,0.094,255,255,255
175,0.162,255,255,255
176,0.153,255,255,255
177,0.153,255,255,255
178,0.161,255,255,255
179,0.089,255,255,255
180,0.119,255,255,255
181,0.166,255,255,255
182,0.206,255,255,255
183,0.175,255,255,255
184,0.271,255,255,255
185,0.219,255,255,255
186,0.178,255,255,255
187,0.173,255,255,255
188,0.161,255,255,255
189,0.174,255,255,255
190,0.138,255,255,255
191,0.196,255,255,255
192,0.180,255,255,255
193,0.120,255,255,255
194,0.123,255,255,255
195,0.164,255,255,255
196,0.208,255,255,255
197,0.134,255,255,255
198,0.119,255,255,255
199,0.089,255,255,255
200,0.164,255,255,255
201,0.156,255,255,255
202,0.119,255,255,255
203,0.196,255,255,255
204,0.177,255,255,255
205,0.098,255,255,255
206,0.141,255,255,255
207,0.155,255,255,255
208,0.172,255,255,255
209,0.181,255,255,255
210,0.156,255,255,255
211,0.200,255,255,255
212,0.131,255,255,255
213,0.129,255,255,255
214,0.152,255,255,255
215,0.141,255,255,255
216,0.115,255,255,255
217,0.128,255,255,255
218,0.107,255,255,255
219,0.122,255,255,255
220,0.127,255,255,255
221,0.182,255,255,255
222,0.138,255,255,255
223,0.111,255,255,255
224,0.138,255,255,255
225,0.067,255,255,255
226,0.245,255,255,255
227,0.096,255,255,255
228,0.118,255,255,255
229,0.310,255,255,255
230,0.155,255,255,255
231,0.142,255,255,255
232,0.152,255,255,255
233,0.201,255,255,255
234,0.371,255,255,255
235,0.155,255,255,255
236,0.134,255,255,255
237,0.093,255,255,255
238,0.113,255,255,255
239,0.038,255,255,255
240,0.079,255,255,255
241,0.065,255,255,255
242,0.063,255,255,255
243,0.045,255,255,255
244,0.021,255,255,255
245,0.018,255,255,255
246,0.012,255,255,255
247,0.023,255,255,255
