 ,Area,Mean,Min,Max
1,0.188,255,255,255
2,0.135,255,255,255
3,0.091,255,255,255
4,0.106,255,255,255
5,0.156,255,255,255
6,0.142,255,255,255
7,0.044,255,255,255
8,0.018,255,255,255
9,0.220,255,255,255
10,0.142,255,255,255
11,0.148,255,255,255
12,0.144,255,255,255
13,0.060,255,255,255
14,0.181,255,255,255
15,0.163,255,255,255
16,0.110,255,255,255
17,0.094,255,255,255
18,0.104,255,255,255
19,0.053,255,255,255
20,0.047,255,255,255
21,0.239,255,255,255
22,0.151,255,255,255
23,0.093,255,255,255
24,0.232,255,255,255
25,0.218,255,255,255
26,0.154,255,255,255
27,0.106,255,255,255
28,0.255,255,255,255
29,0.096,255,255,255
30,0.107,255,255,255
31,0.233,255,255,255
32,0.307,255,255,255
33,0.111,255,255,255
34,0.142,255,255,255
35,0.146,255,255,255
36,0.110,255,255,255
37,0.144,255,255,255
38,0.177,255,255,255
39,0.032,255,255,255
40,0.190,255,255,255
41,0.142,255,255,255
42,0.257,255,255,255
43,0.101,255,255,255
44,0.266,255,255,255
45,0.129,255,255,255
46,0.309,255,255,255
47,0.146,255,255,255
48,0.128,255,255,255
49,0.147,255,255,255
50,0.112,255,255,255
51,0.141,255,255,255
52,0.142,255,255,255
53,0.171,255,255,255
54,0.124,255,255,255
55,0.118,255,255,255
56,0.194,255,255,255
57,0.102,255,255,255
58,0.146,255,255,255
59,0.127,255,255,255
60,0.238,255,255,255
61,0.024,255,255,255
62,0.295,255,255,255
63,0.089,255,255,255
64,0.136,255,255,255
65,0.146,255,255,255
66,0.197,255,255,255
67,0.189,255,255,255
68,0.081,255,255,255
69,0.157,255,255,255
70,0.160,255,255,255
71,0.187,255,255,255
72,0.096,255,255,255
73,0.143,255,255,255
74,0.214,255,255,255
75,0.132,255,255,255
76,0.127,255,255,255
77,0.209,255,255,255
78,0.136,255,255,255
79,0.324,255,255,255
80,0.157,255,255,255
81,0.131,255,255,255
82,0.218,255,255,255
83,0.066,255,255,255
84,0.184,255,255,255
85,0.166,255,255,255
86,0.262,255,255,255
87,0.175,255,255,255
88,0.150,255,255,255
89,0.144,255,255,255
90,0.205,255,255,255
91,0.143,255,255,255
92,0.147,255,255,255
93,0.152,255,255,255
94,0.157,255,255,255
95,0.223,255,255,255
96,0.218,255,255,255
97,0.082,255,255,255
98,0.182,255,255,255
99,0.169,255,255,255
100,0.224,255,255,255
101,0.199,255,255,255
102,0.012,255,255,255
103,0.272,255,255,255
104,0.090,255,255,255
105,0.086,255,255,255
106,0.176,255,255,255
107,0.074,255,255,255
108,0.157,255,255,255
109,0.190,255,255,255
110,0.347,255,255,255
111,0.197,255,255,255
112,0.130,255,255,255
113,0.099,255,255,255
114,0.143,255,255,255
115,0.219,255,255,255
116,0.066,255,255,255
117,0.143,255,255,255
118,0.169,255,255,255
119,0.121,255,255,255
120,0.139,255,255,255
121,0.135,255,255,255
122,0.204,255,255,255
123,0.135,255,255,255
124,0.154,255,255,255
125,0.137,255,255,255
126,0.112,255,255,255
127,0.166,255,255,255
128,0.172,255,255,255
129,0.177,255,255,255
130,0.156,255,255,255
131,0.103,255,255,255
132,0.150,255,255,255
133,0.160,255,255,255
134,0.190,255,255,255
135,0.409,255,255,255
136,0.137,255,255,255
137,0.183,255,255,255
138,0.091,255,255,255
139,0.116,255,255,255
140,0.138,255,255,255
