 ,Area,Mean,Min,Max
1,0.134,255,255,255
2,0.154,255,255,255
3,0.062,255,255,255
4,0.104,255,255,255
5,0.117,255,255,255
6,0.125,255,255,255
7,0.133,255,255,255
8,0.111,255,255,255
9,0.129,255,255,255
10,0.091,255,255,255
11,0.106,255,255,255
12,0.165,255,255,255
13,0.121,255,255,255
14,0.211,255,255,255
15,0.210,255,255,255
16,0.141,255,255,255
17,0.128,255,255,255
18,0.197,255,255,255
19,0.138,255,255,255
20,0.122,255,255,255
21,0.198,255,255,255
22,0.137,255,255,255
23,0.129,255,255,255
24,0.132,255,255,255
25,0.146,255,255,255
26,0.183,255,255,255
27,0.143,255,255,255
28,0.133,255,255,255
29,0.136,255,255,255
30,0.129,255,255,255
31,0.231,255,255,255
32,0.082,255,255,255
33,0.068,255,255,255
34,0.145,255,255,255
35,0.104,255,255,255
36,0.159,255,255,255
37,0.052,255,255,255
38,0.153,255,255,255
39,0.144,255,255,255
40,0.023,255,255,255
41,0.169,255,255,255
42,0.247,255,255,255
43,0.145,255,255,255
44,0.028,255,255,255
45,0.127,255,255,255
46,0.143,255,255,255
47,0.117,255,255,255
48,0.168,255,255,255
49,0.061,255,255,255
50,0.013,255,255,255
51,0.062,255,255,255
52,0.221,255,255,255
53,0.141,255,255,255
54,0.172,255,255,255
55,0.231,255,255,255
56,0.136,255,255,255
57,0.220,255,255,255
58,0.118,255,255,255
59,0.157,255,255,255
60,0.119,255,255,255
61,0.213,255,255,255
62,0.143,255,255,255
63,0.139,255,255,255
64,0.133,255,255,255
65,0.141,255,255,255
66,0.183,255,255,255
67,0.105,255,255,255
68,0.131,255,255,255
69,0.148,255,255,255
70,0.102,255,255,255
71,0.129,255,255,255
72,0.198,255,255,255
73,0.192,255,255,255
74,0.181,255,255,255
75,0.112,255,255,255
76,0.127,255,255,255
77,0.164,255,255,255
78,0.130,255,255,255
79,0.126,255,255,255
80,0.134,255,255,255
81,0.141,255,255,255
82,0.174,255,255,255
83,0.133,255,255,255
84,0.122,255,255,255
85,0.138,255,255,255
86,0.118,255,255,255
87,0.127,255,255,255
88,0.146,255,255,255
89,0.115,255,255,255
90,0.247,255,255,255
91,0.119,255,255,255
92,0.136,255,255,255
93,0.114,255,255,255
94,0.106,255,255,255
95,0.161,255,255,255
96,0.120,255,255,255
97,0.116,255,255,255
98,0.123,255,255,255
99,0.119,255,255,255
100,0.141,255,255,255
101,0.165,255,255,255
102,0.126,255,255,255
103,0.144,255,255,255
104,0.141,255,255,255
105,0.146,255,255,255
106,0.150,255,255,255
107,0.141,255,255,255
108,0.064,255,255,255
109,0.131,255,255,255
110,0.237,255,255,255
111,0.134,255,255,255
112,0.155,255,255,255
113,0.087,255,255,255
114,0.142,255,255,255
115,0.103,255,255,255
116,0.223,255,255,255
117,0.137,255,255,255
118,0.154,255,255,255
119,0.132,255,255,255
120,0.145,255,255,255
121,0.145,255,255,255
122,0.156,255,255,255
123,0.131,255,255,255
124,0.133,255,255,255
125,0.162,255,255,255
126,0.132,255,255,255
127,0.155,255,255,255
128,0.230,255,255,255
129,0.202,255,255,255
130,0.218,255,255,255
131,0.235,255,255,255
132,0.119,255,255,255
133,0.180,255,255,255
134,0.259,255,255,255
135,0.213,255,255,255
136,0.275,255,255,255
137,0.178,255,255,255
138,0.239,255,255,255
139,0.164,255,255,255
140,0.260,255,255,255
141,0.116,255,255,255
142,0.124,255,255,255
143,0.122,255,255,255
144,0.051,255,255,255
145,0.210,255,255,255
146,0.115,255,255,255
147,0.204,255,255,255
148,0.125,255,255,255
149,0.046,255,255,255
